id,text,Anger,Fear,Joy,Sadness,Surprise
eng_dev_track_a_00001,"My mouth fell open `` No, no, no... I..",0,0,0,1,0
eng_dev_track_a_00002,You can barely make out your daughter's pale form in the darkness of your room.,0,1,0,1,0
eng_dev_track_a_00003,"But after blinking my eyes for a few times lepas tu tampar-tampar muka sikit, memang sah la yang penghantar itu Hanis Zalikha.",0,0,0,0,1
eng_dev_track_a_00004,Slowly rising to my feet I came to the conclusion that sometimes being alone meant surviving for myself.,0,0,1,1,0
eng_dev_track_a_00005,I noticed this months after moving in and doing all of my basic routines in my room naked.,0,1,0,0,0
eng_dev_track_a_00006,"I know not why, I wipe my face.",1,0,0,1,0
eng_dev_track_a_00007,It was rather insulting.,1,0,0,1,0
eng_dev_track_a_00008,"I was born without the compassion chromosome, or I could have been born with two hearts, neither one agreeing where my brain should spend it's time.",0,1,0,1,0
eng_dev_track_a_00009,; ) In the evening we did go down and put our feet in the water-I got to about my waist actually.,0,0,1,0,0
eng_dev_track_a_00010,I feel like I am in over my head... Like Quicksand.,0,0,1,0,0
eng_dev_track_a_00011,I would go over to his house where his Grandmother and mom and dad lived to play SSX Tricky and eat Pokemon fruit rollups.,0,1,0,1,0
eng_dev_track_a_00012,My stomach was hurting.,1,0,0,1,0
eng_dev_track_a_00013,... but Raul never called.,0,1,0,0,1
eng_dev_track_a_00014,I accidentally drop him.,0,0,1,0,0
eng_dev_track_a_00015,We're still together.,0,1,1,0,0
eng_dev_track_a_00016,Thankfully only a short ride to the hospital.,1,1,0,0,0
eng_dev_track_a_00017,"Victim-less, non-violent crimes shouldn't be handled so harshly.",1,1,0,1,0
eng_dev_track_a_00018,"I leaned forward in my seat, pearing though the small portion of the windshield that was clear enough to look out and see a wall of white reflecting my lights back in my face.",0,0,0,1,0
eng_dev_track_a_00019,My sister was walking backwards and bumped her back into the wall so the second shelf or whatever that was placed on top of the knobs in the middle fell on my feet.,1,0,0,1,0
eng_dev_track_a_00020,"Aargh, the look of frenzy must have been written all over my face as I tried to corall the older kids and placate my little one with a granola bar because it was dinner time ye know.",0,0,1,0,0
eng_dev_track_a_00021,"When mom inquires what ""the truth"" is, Lisa just says that ""you will know eventually"", and she says that once she learned of ""the truth"", then ""everything became wonderful"".",0,0,1,0,1
eng_dev_track_a_00022,"The feeling has started to come back to my eye, but I still cant raise my lip and actually inspect the damage.",0,1,0,1,0
eng_dev_track_a_00023,Older sister (23 at the time) is a Scumbag Stacy.,0,1,0,0,0
eng_dev_track_a_00024,"Then she tried to, like, have sex with/strangle everyone.",0,1,0,1,0
eng_dev_track_a_00025,"Longest, most awkward drive I've ever taken.",0,0,0,0,1
eng_dev_track_a_00026,"End of story, right?",1,0,0,0,1
eng_dev_track_a_00027,There was also the sensation of something at my back at this point like a crustacean that I had to ask to leave.,0,1,0,0,0
eng_dev_track_a_00028,"""  I'm like ""sure.",0,0,1,0,1
eng_dev_track_a_00029,Block Island holds a very special place in my heart.,0,0,1,0,0
eng_dev_track_a_00030,"Ok, so my pet alligator's tank is directly across from my pillow... the second I opened my eyes this morning at 6 am, the absolute first thing I see is my alligator in the CORNER of his tank staring directly at me.",0,1,0,0,1
eng_dev_track_a_00031,"Anyway, I finished up and went back inside and decided to brush my teeth and straighten my shirttail, which had gotten twisted while sitting on the floor of the hall reading for two hours.",0,0,1,1,0
eng_dev_track_a_00032,& # x 26; nbsp; What I did was cut the top off of a plastic gallon milk carton leaving the handle then by standing next to body of water or sometimes partially in it I could get a good dowseing dipping the carton into the water and then dumping it over my head.,1,0,0,0,1
eng_dev_track_a_00033,Welcome to the month from passive aggressive hell.,1,0,1,0,0
eng_dev_track_a_00034,I'm gonna absolutely ~~suck~~ be terrible during my first sexual experience ._.,0,1,0,0,1
eng_dev_track_a_00035,"The doors were getting ready to close, and she wasn't in yet, so I wedged my foot in the bottom of the door to hold it open for her.",0,1,0,1,0
eng_dev_track_a_00036,Clint and I went up and down with that weight for at least three or four reps after I thought my legs were shot.,0,1,0,0,1
eng_dev_track_a_00037,"I have a floor shift in the morning, hopefully without my nose being stuffy.",0,1,0,1,0
eng_dev_track_a_00038,"I can't breathe right, my head has been stuffed up for THREE MONTHS, I have whacked out dreams, can't sleep, I'm just... I'm... I feel like I'm breaking.",0,0,0,1,0
eng_dev_track_a_00039,"Just getting out of the house put a smile on my face, that and the fact that she had some wicked old music on her iPod.",0,0,1,0,0
eng_dev_track_a_00040,My heart.,0,1,1,0,0
eng_dev_track_a_00041,The entire summer is going to pass by with a blink of my eye because I've got so much going on!,0,0,1,0,0
eng_dev_track_a_00042,<< < using my brain?,0,1,0,0,1
eng_dev_track_a_00043,It is stuck there in the back of my head with some other nasty stuff.,0,1,0,1,0
eng_dev_track_a_00044,I put my hand on its tail to pet it.,0,1,1,0,0
eng_dev_track_a_00045,I was beyond furious.,0,0,0,0,1
eng_dev_track_a_00046,"Oh, and I noticed an odd effect from eating ripe honeydew melon; this raspy, raw feeling in my chest, like a cold was coming on.",0,1,0,0,0
eng_dev_track_a_00047,Your sister is a heavy sleeper.,0,0,0,1,1
eng_dev_track_a_00048,I didn't see it through but what I did see when I lifted my head was my wife coming up the street.,0,0,1,1,0
eng_dev_track_a_00049,Always hiding my eyes welling up by yawning so it seemed like they were just tearing from that.,0,0,0,1,0
eng_dev_track_a_00050,In between my toes.,0,0,0,0,1
eng_dev_track_a_00051,"Tears welled up in my eyes, but none fell out.",0,0,1,1,0
